node_id,type,phys_nodeid,role,inception,temp_boot_osid_vers,next_boot_osid,next_boot_osid_vers,startstatus,ready,bootstatus,status,failureaction,routertype,eventstate,state_timestamp,op_mode,op_mode_timestamp,allocstate,allocstate_timestamp,update_accounts,next_op_mode,osid,ntpdrift,jailflag,rtabid,boot_errno,reserved_pid,uuid,reserved_memory,nonfsmounts
pc464,d710,pc464,testnode,2010-03-18 17:04:36,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557227466.0,PXEKERNEL,1557227462.0,FREE_DIRTY,1555685080.0,0,,9999.0,22.128,0,0,0,,9fcdd7cf-32e2-11df-8633-001143e453fe,0,0
pc485,d710,pc485,testnode,2010-03-04 16:39:06,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557227487.0,PXEKERNEL,1557227483.0,FREE_DIRTY,1555685186.0,0,,9999.0,22.541,0,0,0,,1f7645ca-27e7-11df-8633-001143e453fe,0,0
pc434,d710,pc434,testnode,2010-03-04 14:36:16,0,,0,none,0,okay,,fatal,none,ISUP,1557264411.0,NORMALv2,1557264398.0,RES_READY,1557264769.0,0,,5266.0,24.533,0,0,0,,f69024c4-27d5-11df-8633-001143e453fe,0,0
pc493,d710,pc493,testnode,2010-03-04 16:07:21,0,,0,none,0,okay,,fatal,none,ISUP,1557264436.0,NORMALv2,1557264421.0,RES_READY,1557264769.0,0,,5266.0,40.694,0,0,0,,b0396ece-27e2-11df-8633-001143e453fe,0,0
pc487,d710,pc487,testnode,2010-03-04 16:07:40,0,,0,none,0,failed,,fatal,static,ISUP,1554155063.0,NORMALv2,1554155033.0,RES_READY,1407005242.0,0,,3089.0,43.365,0,0,0,,bbaf1570-27e2-11df-8633-001143e453fe,0,0
pc486,d710,pc486,testnode,2010-03-04 16:07:38,0,,0,none,0,okay,,fatal,none,ISUP,1557264436.0,NORMALv2,1557264422.0,RES_READY,1557264769.0,0,,5266.0,19.442,0,0,0,,ba225627-27e2-11df-8633-001143e453fe,0,0
pc539,d710,pc539,testnode,2010-03-08 19:16:03,0,,0,none,0,okay,,fatal,none,ISUP,1557264444.0,NORMALv2,1557264431.0,RES_READY,1557264769.0,0,,5266.0,36.052,0,0,0,,b661f576-2b21-11df-8633-001143e453fe,0,0
pc509,d710,pc509,testnode,2010-03-04 17:03:58,0,9999.0,0,none,0,unknown,,fatal,manual,RELOADING,1557266799.0,RELOAD,1557266792.0,RES_RELOAD,1557266739.0,0,,9999.0,16.542,0,0,0,,98b55439-27ea-11df-8633-001143e453fe,0,0
pc512,d710,pc512,testnode,2010-03-05 11:20:17,0,,0,none,0,okay,,fatal,none,ISUP,1557264449.0,NORMALv2,1557264435.0,RES_READY,1557264769.0,0,,5266.0,52.913000000000004,0,0,0,,c0519c61-2883-11df-8633-001143e453fe,0,0
pc448,d710,pc448,testnode,2010-03-15 20:56:20,0,,0,none,0,okay,,fatal,none,ISUP,1557264436.0,NORMALv2,1557264423.0,RES_READY,1557264769.0,0,,5266.0,22.816999999999997,0,0,0,,7f95c4ad-30a7-11df-8633-001143e453fe,0,0
pc489,d710,pc489,testnode,2010-03-18 17:48:42,0,,0,0,0,unknown,,fatal,none,SHUTDOWN,1557266818.0,NORMALv2,1557266818.0,RES_RELOAD,1557266734.0,0,,9999.0,52.187,0,0,0,,c8a1defe-32e8-11df-8633-001143e453fe,0,0
pc441,d710,pc441,testnode,2010-03-04 15:14:35,0,,0,none,0,okay,,fatal,none,ISUP,1557264480.0,NORMALv2,1557264463.0,RES_READY,1557264769.0,0,,5266.0,20.116,0,0,0,,50f7ed55-27db-11df-8633-001143e453fe,0,0
pc519,d710,pc519,testnode,2010-03-05 11:20:09,0,,0,none,0,okay,,fatal,none,ISUP,1557264442.0,NORMALv2,1557264428.0,RES_READY,1557264769.0,0,,5266.0,19.017,0,0,0,,bb648157-2883-11df-8633-001143e453fe,0,0
pc466,d710,pc466,testnode,2010-03-18 17:04:42,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557227545.0,PXEKERNEL,1557227541.0,FREE_DIRTY,1555685080.0,0,,9999.0,46.174,0,0,0,,a2e2ae3d-32e2-11df-8633-001143e453fe,0,0
pc525,d710,pc525,testnode,2010-03-08 18:49:12,0,,0,none,0,okay,,fatal,none,ISUP,1557264444.0,NORMALv2,1557264430.0,RES_READY,1557264769.0,0,,5266.0,19.42,0,0,0,,f5d80eb2-2b1d-11df-8633-001143e453fe,0,0
pc531,d710,pc531,testnode,2010-03-08 19:16:01,0,,0,none,0,okay,,fatal,none,ISUP,1557264439.0,NORMALv2,1557264426.0,RES_READY,1557264769.0,0,,5266.0,23.891,0,0,0,,b4d34def-2b21-11df-8633-001143e453fe,0,0
pc532,d710,pc532,testnode,2010-03-08 19:15:36,0,,0,none,0,okay,,fatal,none,ISUP,1557264448.0,NORMALv2,1557264435.0,RES_READY,1557264769.0,0,,5266.0,8.811,0,0,0,,a6592e4c-2b21-11df-8633-001143e453fe,0,0
pc533,d710,pc533,testnode,2010-03-08 19:15:40,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557227567.0,PXEKERNEL,1557227563.0,FREE_DIRTY,1555685080.0,0,,9999.0,38.07,0,0,0,,a89b866b-2b21-11df-8633-001143e453fe,0,0
pc498,d710,pc498,testnode,2010-03-04 16:07:12,0,,0,none,0,okay,,fatal,none,ISUP,1557264434.0,NORMALv2,1557264420.0,RES_READY,1557264769.0,0,,5266.0,40.131,0,0,0,,aaf34a0d-27e2-11df-8633-001143e453fe,0,0
